Time(s),Nose_X,Nose_Y,Nose_value,Neck_X,Neck_Y,Neck_value,RShoulder_X,RShoulder_Y,RShoulder_value,RElbow_X,RElbow_Y,RElbow_value,RWrist_X,RWrist_Y,RWrist_value,LShoulder_X,LShoulder_Y,LShoulder_value,LElbow_X,LElbow_Y,LElbow_value,LWrist_X,LWrist_Y,LWris_value,MidHip_X,MidHip_Y,MidHip_value,RHip_X,RHip_Y,RHip_value,RKnee_X,RKnee_Y,RKnee_value,RAnkle_X,RAnkle_Y,RAnkle_value,LHip_X,LHip_Y,LHip_value,LKnee_X,LKnee_Y,LKnee_value,LAnkle_X,LKnee_Y,LKnee_value,REye_X,REye_Y,REye_value,LEye_X,LEye_Y,LEye_value,REar_X,REar_Y,REar_value,LEar_X,LEar_Y,LEar_value,LBigToe_X,LBigToe_Y,LBigToe_value,LSmallToe_X,LSmallToe_Y,LSmallToe_value,LHeel_X,LHeel_Y,LHeel_value,RBigToe_X,RBigToe_Y,RBigToe_value,RSmallToe_X,RSmallToe_Y,RSmallToe_value,RHeel_X,RHeel_Y,RHeel_value
0.0,623.5408325195312,372.70452880859375,0.8524541258811951,633.2053833007812,390.3648376464844,0.8846697807312012,607.863525390625,390.3677673339844,0.8182573318481445,592.1615600585938,425.6172180175781,0.8022440075874329,598.0618286132812,409.987548828125,0.8094379901885986,650.9860229492188,388.4532165527344,0.8967994451522827,664.7389526367188,421.7067565917969,0.9081809520721436,648.923095703125,400.1373596191406,0.9491603374481201,625.4705200195312,466.7997741699219,0.7977230548858643,611.7153930664062,466.744140625,0.7974728941917419,601.974365234375,517.726318359375,0.8602112531661987,611.7703247070312,556.8570556640625,0.8931252360343933,639.2120971679688,468.73565673828125,0.7902255058288574,637.2378540039062,570.56884765625,0.9076228141784668,635.3687133789062,570.56884765625,0.9076228141784668,619.6055297851562,368.76824951171875,0.959287166595459,631.3519287109375,368.7449035644531,0.9332794547080994,617.5780639648438,366.9384460449219,0.23254670202732086,637.2477416992188,368.7301330566406,0.9165197014808655,635.2820434570312,590.2306518554688,0.8311485052108765,648.9030151367188,588.26318359375,0.8817617297172546,635.2161865234375,570.6726684570312,0.8587790727615356,601.9815063476562,584.2550048828125,0.8838366866111755,598.0030517578125,574.5167236328125,0.8340317010879517,617.6149291992188,556.96533203125,0.8707752823829651
1.0,617.5910034179688,355.1566162109375,0.8930774927139282,625.4371337890625,382.4787902832031,0.8877080678939819,602.0318603515625,382.4642028808594,0.955994725227356,596.0985717773438,417.85577392578125,0.8308318257331848,590.2678833007812,453.08636474609375,0.8643219470977783,648.9971923828125,382.4974060058594,0.9343661069869995,660.7576904296875,415.91204833984375,0.8718782663345337,650.8508911132812,447.1449890136719,0.9229304790496826,619.6585083007812,462.8885498046875,0.8574821352958679,604.0136108398438,462.8785400390625,0.8473556041717529,600.005126953125,517.7241821289062,0.8241642117500305,588.265625,572.5784301757812,0.8734170794487,635.2733764648438,462.91168212890625,0.8679076433181763,648.9361572265625,580.4066162109375,0.7725869417190552,662.630859375,580.4066162109375,0.7725869417190552,615.6266479492188,353.102294921875,0.8301582932472229,619.6316528320312,353.0879821777344,0.9401674866676331,0.0,0.0,0.0,633.360595703125,353.1551513671875,0.966006875038147,656.8207397460938,603.9562377929688,0.6695969700813293,666.5950927734375,601.9165649414062,0.7035736441612244,662.67431640625,584.2809448242188,0.6397490501403809,584.3014526367188,594.1073608398438,0.7610284686088562,572.5675659179688,588.2216186523438,0.848990261554718,592.1840209960938,576.514404296875,0.7142812013626099
2.0,619.5060424804688,353.0648193359375,0.9116290211677551,631.3037109375,382.42608642578125,0.8882351517677307,603.9864501953125,382.4413757324219,0.9025393724441528,601.9397583007812,417.81719970703125,0.903048038482666,598.0531616210938,449.1457214355469,0.8676695227622986,650.9324340820312,380.5744323730469,0.8945850133895874,666.5577392578125,413.90032958984375,0.9429737329483032,652.9696044921875,445.1893615722656,0.9056631922721863,629.390380859375,460.912353515625,0.8348966836929321,613.7020263671875,460.90802001953125,0.823758065700531,603.82275390625,521.5936889648438,0.8858758211135864,596.0550537109375,572.5843505859375,0.8271363377571106,645.0384521484375,460.91192626953125,0.8221132755279541,651.043701171875,578.466064453125,0.7903687357902527,666.5805053710938,578.466064453125,0.7903687357902527,617.548583984375,349.204345703125,0.7984554767608643,621.6087646484375,349.2005920410156,0.856110155582428,611.7560424804688,351.18011474609375,0.060353267937898636,635.3077392578125,351.1531677246094,0.9098633527755737,664.7120971679688,603.8851318359375,0.6585608720779419,678.29736328125,600.0128784179688,0.6332411766052246,666.5925903320312,586.221435546875,0.6421823501586914,586.355712890625,588.2374267578125,0.808327853679657,578.4192504882812,586.1805419921875,0.7962269186973572,599.978271484375,582.3287963867188,0.7112306952476501
3.0,621.5881958007812,355.1065673828125,0.6635608077049255,629.3934326171875,382.4468078613281,0.8846495151519775,603.94921875,382.43878173828125,0.9051472544670105,580.4310913085938,400.2705993652344,0.8653274774551392,552.9642333984375,413.9029235839844,0.9087569117546082,650.945556640625,382.44342041015625,0.8846663236618042,662.656982421875,415.92510986328125,0.8284690976142883,668.5340576171875,445.26708984375,0.7505322694778442,631.3008422851562,460.9170227050781,0.8512967824935913,613.7410888671875,460.9059143066406,0.8343753814697266,601.87841796875,517.7076416015625,0.810765266418457,588.2894287109375,572.5436401367188,0.8746042847633362,647.026611328125,460.9189453125,0.8346942663192749,650.9387817382812,574.5675659179688,0.8106435537338257,666.5517578125,574.5675659179688,0.8106435537338257,619.5414428710938,351.2664489746094,0.6179229021072388,629.382568359375,351.1959228515625,0.6985415816307068,615.6398315429688,353.2066955566406,0.28610026836395264,635.3367919921875,351.2208251953125,0.7165184020996094,664.6782836914062,600.0116577148438,0.6919050812721252,676.4226684570312,596.0431518554688,0.6671369671821594,666.5692749023438,580.3873901367188,0.6493452191352844,580.3809814453125,588.2576293945312,0.7837578654289246,572.5355834960938,586.1672973632812,0.8746563792228699,594.0859985351562,576.5263061523438,0.6918272376060486
4.0,605.9307861328125,345.3374328613281,0.8013023138046265,619.555419921875,364.8699951171875,0.9037270545959473,598.0369262695312,364.93646240234375,0.8668729066848755,588.3502807617188,400.0973815917969,0.9341542720794678,592.17578125,431.5202941894531,0.9048194289207458,641.1732788085938,362.9178771972656,0.8214527368545532,670.4874877929688,384.53228759765625,0.8913325071334839,662.6527709960938,419.7857360839844,0.8272695541381836,631.254638671875,443.2481689453125,0.7977007031440735,613.7318115234375,443.2789001464844,0.8096089959144592,603.8595581054688,498.10198974609375,0.8457279205322266,599.9092407226562,556.8829345703125,0.831936240196228,645.0546875,441.3290710449219,0.7612239122390747,652.8898315429688,556.8445434570312,0.8736890554428101,664.7120971679688,556.8445434570312,0.8736890554428101,603.9481811523438,339.39520263671875,0.7740073204040527,615.6035766601562,337.5747985839844,0.8249729871749878,603.8421630859375,339.4233093261719,0.06737732142210007,625.4398193359375,337.50762939453125,0.8271104693412781,664.65185546875,570.6422119140625,0.7962819337844849,672.4951171875,570.5355224609375,0.7523897886276245,664.6434936523438,558.86181640625,0.6892708539962769,588.27880859375,574.5738525390625,0.788358747959137,582.3607177734375,570.6577758789062,0.8283751010894775,601.9495239257812,564.7067260742188,0.7071384191513062
5.0,613.6726684570312,312.03759765625,0.5048987865447998,619.6322021484375,335.4591064453125,0.9242541790008545,598.0248413085938,335.48870849609375,0.873228907585144,586.2306518554688,368.92523193359375,0.8997571468353271,586.2406616210938,402.091552734375,0.8954058885574341,647.0188598632812,335.4066467285156,0.8898703455924988,678.2957763671875,366.9251403808594,0.9234530925750732,664.5911254882812,402.18218994140625,0.8713904619216919,619.598876953125,423.65765380859375,0.8153904676437378,603.9413452148438,421.7221984863281,0.808879017829895,603.9456787109375,490.2128601074219,0.8371957540512085,611.735595703125,554.8666381835938,0.8275934457778931,635.2697143554688,425.5966491699219,0.7982217669487,633.3095092773438,556.861572265625,0.8405673503875732,633.2841796875,556.861572265625,0.8405673503875732,607.83935546875,306.1458435058594,0.4441731572151184,617.64794921875,306.0990905761719,0.5942890644073486,605.9293212890625,306.1080017089844,0.23352965712547302,629.3997802734375,304.20489501953125,0.7507874965667725,625.487548828125,582.3307495117188,0.740264892578125,635.2708129882812,576.5126953125,0.7666686177253723,633.2461547851562,560.78857421875,0.6600623726844788,594.149169921875,572.5657958984375,0.7949900031089783,590.1639404296875,568.6380004882812,0.8226466178894043,617.5794677734375,558.8499755859375,0.7328203916549683
6.0,680.2786254882812,415.8271179199219,0.4024658799171448,658.7716674804688,413.84405517578125,0.7241203784942627,649.0219116210938,388.41375732421875,0.7258336544036865,635.1880493164062,398.21533203125,0.8580198287963867,666.6535034179688,413.90533447265625,0.818496823310852,668.537109375,431.58050537109375,0.7676377892494202,680.2153930664062,476.6277160644531,0.7309314608573914,680.34375,523.550048828125,0.8168977499008179,551.0322875976562,476.6145935058594,0.6907156705856323,543.1605224609375,472.6037902832031,0.6762754917144775,490.2281799316406,498.13482666015625,0.6086498498916626,468.7429504394531,480.51702880859375,0.46069100499153137,554.9923095703125,482.421142578125,0.6404783129692078,590.1749267578125,553.0006713867188,0.4238201379776001,572.67138671875,553.0006713867188,0.4238201379776001,680.2626953125,409.96746826171875,0.37131592631340027,684.2034912109375,413.8194274902344,0.2171185314655304,674.4052734375,398.1646423339844,0.5144398212432861,0.0,0.0,0.0,580.4203491210938,554.9938354492188,0.21937121450901031,584.3519897460938,554.9898071289062,0.2257457822561264,570.6323852539062,552.912841796875,0.38682663440704346,445.22906494140625,486.36114501953125,0.25105318427085876,447.17889404296875,476.57244873046875,0.30645468831062317,474.5888977050781,462.8738708496094,0.27916309237480164
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.2080078125,523.5393676757812,0.15728339552879333,464.841064453125,556.9431762695312,0.5661638379096985,507.9951171875,556.9431762695312,0.5661638379096985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.5539245605469,572.5003662109375,0.5436609983444214,482.45751953125,574.5370483398438,0.517609179019928,521.570556640625,562.7643432617188,0.506344735622406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,619.5444946289062,323.77294921875,0.8837519288063049,650.9419555664062,325.7361145019531,0.7979112267494202,637.2699584960938,335.42095947265625,0.7396369576454163,650.926025390625,376.65869140625,0.3000495135784149,635.25732421875,400.20965576171875,0.2913613021373749,664.69921875,321.80743408203125,0.8918256163597107,682.3636474609375,364.9358825683594,0.8886158466339111,650.9217529296875,396.1889343261719,0.8294758796691895,664.6748657226562,413.839111328125,0.7706748247146606,654.8469848632812,413.8717041015625,0.6882519125938416,658.7550048828125,492.2088623046875,0.7881099581718445,684.29541015625,554.9483642578125,0.8192993402481079,670.5430297851562,413.81640625,0.724390983581543,627.4492797851562,566.7012939453125,0.8479419946670532,617.690673828125,566.7012939453125,0.8479419946670532,617.5237426757812,319.88165283203125,0.2102689892053604,619.6425170898438,317.89984130859375,0.8853923082351685,0.0,0.0,0.0,637.1860961914062,306.1975402832031,0.8628732562065125,584.24658203125,576.53369140625,0.7373394966125488,590.1644287109375,584.3008422851562,0.8451709747314453,627.3948364257812,572.6743774414062,0.8309661746025085,652.8991088867188,566.6790161132812,0.6574650406837463,656.8212280273438,558.8817749023438,0.5651559829711914,697.9324340820312,560.7820434570312,0.7396708130836487
9.0,646.9965209960938,343.32684326171875,0.678159236907959,648.925048828125,353.15167236328125,0.9081433415412903,623.4652709960938,347.2708435058594,0.8337286114692688,633.337890625,366.9394836425781,0.8989485502243042,666.6672973632812,370.85528564453125,0.835678219795227,670.53955078125,362.9024353027344,0.8211004137992859,709.6749877929688,382.4780578613281,0.6665506362915039,707.7603759765625,384.5198059082031,0.48384949564933777,625.4837036132812,445.1606140136719,0.812836766242981,605.9004516601562,443.209716796875,0.7852725982666016,596.0953369140625,502.0483093261719,0.7810441851615906,599.9553833007812,556.93359375,0.8599221110343933,645.066650390625,445.2684020996094,0.8175767064094543,652.884765625,568.5916137695312,0.7901504635810852,668.5402221679688,568.5916137695312,0.7901504635810852,641.1257934570312,337.4512023925781,0.6600375175476074,650.8922729492188,337.5497741699219,0.7499231100082397,633.3626098632812,335.4582214355469,0.267200767993927,662.665771484375,337.54595947265625,0.6872480511665344,680.3598022460938,582.3743896484375,0.5667696595191956,688.171142578125,574.5636596679688,0.5619359612464905,664.6639404296875,574.5093994140625,0.7305828928947449,586.2157592773438,572.5689697265625,0.8229187726974487,574.5737915039062,570.4952392578125,0.8255995512008667,603.911865234375,568.5824584960938,0.8197274208068848
10.0,0.0,0.0,0.0,678.3104858398438,359.0283203125,0.1154324859380722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.238525390625,419.7579040527344,0.3903810977935791,664.6749267578125,421.71710205078125,0.2887631952762604,660.7224731445312,503.9710388183594,0.23575633764266968,660.73095703125,568.6034545898438,0.25450098514556885,697.900146484375,415.8643493652344,0.32390907406806946,697.993408203125,578.4475708007812,0.3090311884880066,711.7275390625,578.4475708007812,0.3090311884880066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.9219970703125,586.2589721679688,0.1301216185092926,707.7234497070312,586.3131713867188,0.11977940797805786,713.6314697265625,584.3133544921875,0.22142146527767181,0.0,0.0,0.0,0.0,0.0,0.0,664.6123046875,570.5575561523438,0.19700124859809875
11.0,609.7586669921875,329.6058349609375,0.7467740178108215,615.6931762695312,351.1974792480469,0.9372655749320984,588.2086181640625,351.2760009765625,0.9241892695426941,566.719970703125,384.4757385253906,0.9172810316085815,588.2482299804688,398.09765625,0.8579376935958862,637.2554321289062,349.234130859375,0.8763172626495361,656.7946166992188,382.62249755859375,0.8939809203147888,617.6602783203125,392.3316650390625,0.8065211772918701,617.6097412109375,431.5932922363281,0.8308436870574951,600.0056762695312,431.600830078125,0.7929854393005371,586.3345947265625,500.1020202636719,0.823054313659668,582.3795166015625,562.7657470703125,0.7680233120918274,635.18505859375,431.5933532714844,0.8252508044242859,633.3497314453125,572.5593872070312,0.8928515315055847,635.171875,572.5593872070312,0.8928515315055847,603.928955078125,323.7492980957031,0.8076575994491577,615.6405639648438,321.8605041503906,0.7882318496704102,599.9719848632812,327.676513671875,0.6381804347038269,619.6766967773438,321.8412170410156,0.7082520723342896,637.2029418945312,596.0420532226562,0.7543551325798035,649.0079345703125,590.1701049804688,0.8016587495803833,633.1976318359375,574.5152587890625,0.7312036156654358,568.6303100585938,582.36767578125,0.6739240288734436,558.8726806640625,572.6625366210938,0.6936423778533936,588.22314453125,570.59521484375,0.7654657363891602
12.0,660.7095336914062,351.252197265625,0.7065215110778809,670.5120239257812,353.19561767578125,0.8850702047348022,643.1167602539062,351.2120056152344,0.8258562684059143,617.5474243164062,335.4649658203125,0.7510392069816589,590.238037109375,317.8689270019531,0.6968010663986206,697.9337768554688,355.17608642578125,0.8619289994239807,727.3597412109375,390.36907958984375,0.8722547888755798,695.9688110351562,386.5072326660156,0.9023329019546509,680.2745361328125,449.15447998046875,0.8042325973510742,664.664794921875,449.18829345703125,0.779551088809967,670.5089721679688,517.68408203125,0.7550076246261597,678.392333984375,570.6692504882812,0.7169623374938965,695.8839111328125,449.1374816894531,0.7702283263206482,688.1272583007812,576.5066528320312,0.7410584688186646,672.4456787109375,576.5066528320312,0.7410584688186646,650.9951782226562,345.2681579589844,0.591025710105896,664.693603515625,345.28582763671875,0.684134304523468,647.0361938476562,339.4633483886719,0.050260044634342194,678.3892822265625,335.56146240234375,0.7033161520957947,668.5556640625,602.0057373046875,0.6430339813232422,680.280029296875,601.9732666015625,0.6821576356887817,666.6283569335938,586.2630615234375,0.5416437983512878,678.3716430664062,601.906982421875,0.44053834676742554,666.7097778320312,599.9523315429688,0.44287124276161194,680.2324829101562,576.470947265625,0.3758334219455719
13.0,641.1690673828125,398.1573181152344,0.5090834498405457,623.5360717773438,378.6289367675781,0.6895888447761536,609.7884521484375,368.81536865234375,0.7849271297454834,602.0012817382812,413.9583435058594,0.924638032913208,643.0580444335938,433.51422119140625,0.776186466217041,639.1956176757812,384.5469970703125,0.6108383536338806,633.3597412109375,423.66204833984375,0.2668488621711731,637.248779296875,431.5035705566406,0.16438379883766174,588.2985229492188,445.2076110839844,0.7917572259902954,572.6580810546875,445.18670654296875,0.7726540565490723,560.8419189453125,505.9576110839844,0.8036259412765503,525.6436157226562,556.9063720703125,0.9064765572547913,603.9252319335938,445.26190185546875,0.7762629985809326,619.5606689453125,568.5841674804688,0.8126120567321777,623.5292358398438,568.5841674804688,0.8126120567321777,637.2893676757812,392.3015441894531,0.5052133798599243,648.90673828125,392.306396484375,0.20778788626194,635.220458984375,366.8948059082031,0.473673015832901,0.0,0.0,0.0,643.0958862304688,584.3056640625,0.758664608001709,648.9605712890625,576.5276489257812,0.7720281481742859,617.6358642578125,572.5969848632812,0.808834433555603,531.4216918945312,584.2560424804688,0.8453717231750488,523.5003051757812,576.4658203125,0.864465057849884,525.48583984375,556.962890625,0.7810252904891968
14.0,598.0250244140625,359.0086364746094,0.4489450752735138,617.64013671875,353.16619873046875,0.6749065518379211,607.848388671875,351.2007751464844,0.4646117091178894,578.4620361328125,351.17022705078125,0.7156866788864136,554.9478149414062,351.2113037109375,0.8197934627532959,623.5203247070312,353.2364196777344,0.7153112888336182,596.0469360351562,380.53955078125,0.7896755337715149,578.4344482421875,355.0834045410156,0.7711135149002075,617.7060546875,435.4021911621094,0.7225867509841919,611.7674560546875,435.424560546875,0.6249786019325256,603.914794921875,500.1026306152344,0.6738293170928955,596.0579223632812,556.8387451171875,0.5916510820388794,625.4505004882812,433.5216064453125,0.6755221486091614,635.228759765625,554.9573974609375,0.7248681783676147,649.0579223632812,554.9573974609375,0.7248681783676147,599.9482421875,353.12176513671875,0.10322693735361099,596.0628662109375,351.2172546386719,0.4592602252960205,0.0,0.0,0.0,613.6785278320312,341.4063415527344,0.517717719078064,623.4771728515625,560.7828369140625,0.38882240653038025,629.3884887695312,566.6614379882812,0.4378431439399719,652.94287109375,558.8245239257812,0.5944405794143677,582.3649291992188,558.8875122070312,0.35533466935157776,578.4581909179688,558.8449096679688,0.3386688232421875,598.0507202148438,558.8623657226562,0.42651987075805664
